SKU,Highest Price,Lowest Price
PRO-HS3020C,545.99,545.99
25-017,278.99,278.99
DS-KH6320-WTE2-W,714.99,714.99
IPC-HDBW2441E-S-0280B,533.99,533.99
SPL24,99.99,99.99
DMDP-500,319.99,319.99
ES0020RE,494.99,494.99
IPC-D124-PF40,344.99,344.99
GTS-SFP-35G,59.99,59.99
1x6RED100,470.0,470.0
DS-KH6320-WTE1-W,714.99,714.99
C65H+,1369.99,1369.99
TL-POE10R-R1,61.99,61.99
DB2C-KIT,499.99,499.99
L1X40X50X113,159.66,159.66
SAF-BM2MP80F28-A,129.99,129.99
SKU-7804,149.99,149.99
KITSAF-8X-5MP28I40,1464.99,1464.99
BARRY-A,1143.99,1143.99
KIT4MIXTSAF,910.99,910.99
AJAX LEAKSPROTECT WH,309.99,309.99
SHINE-GPRS-X,336.13,336.13
EXTENSIE CA,288.99,288.99
IPC-HFW1430DS-SAW-0280B,375.99,375.99
HWD-5104MH(S),170.99,170.99
BKT-METAL,33.61,33.61
UT107,154.99,154.99
DS-7104HGHI-K1(S),205.99,205.99
SMOPRO-RF-R2,59.99,59.99
MIK0075,636.99,636.99
HDMI-ECRANAT-1.5M,11.99,11.99
LPLA11W124,34.99,34.99
DCTXP2 W-868MHZ,244.99,244.99
PBK-815,36.99,36.99
LR5-66HPH-505M,825.2,825.2
DS-7108HGHI-K1(S),258.99,258.99
BR-BT42-05032,310.99,310.99
XVR1B08-I(512G),489.99,489.99
BR-BT42-59132,549.99,549.99
SAPM-10KW,462.18,462.18
TFS-3191,84.99,84.99
DS-PDSMK-S-WE,291.99,291.99
SAF-BM2MP80F36TH,109.99,109.99
1722C6,118.99,118.99
DS-2CD1121-IF2.8,194.99,194.99
UPS600VA,309.99,309.99
5RI1740000,139.99,139.99
GKRM3000LB903,1899.99,1899.99
Shelly Motion,231.99,231.99
DCM,0.49,0.49
C75/8,1839.99,1839.99
ARD821-W2(868),102.99,102.99
KIT4HIKFHD80-S-1,1173.99,1173.99
